Task_ID,Task_Length_MIPS,Task_Deadline,Data_Upload_Size_MB,Data_Download_Size_MB,VM_ID,VM_MIPS,VM_Memory_GB,VM_Bandwidth_MBps,Resource_Type,Task_Priority,Execution_Time_S,Waiting_Time_S,Completion_Time_S,Energy_Consumption_J,Scheduling_Algorithm,Makespan_S,Response_Time_S,Execution_Cost_$,Degree_of_Imbalance,Storage_Utilization,Path_Load
1,7770,130.9919560697495,28.95854033565223,57.12064721107983,6,4456,32,200,Cloud,3,11.720146954173513,1.479895823803501,174.951636921049,2.6837012017971325,G_SOS,557.4878736320786,36.791762103140535,149.4556606245196,1.6598492048814912,0.7585882693794935,0.6396822743904949
2,1360,27.260093384921355,35.85130785188419,65.23351247429282,21,1437,4,50,Cloud,1,142.43319079671969,8.528998913790332,21.652253811872313,2.51263626463849,SA-ACO,155.41028031532156,35.904727230193146,238.74878310571447,1.8519413960750248,0.7856574745327729,0.7215300194425511
3,5890,78.71064574308564,84.30585679509434,60.9639942025752,20,1455,4,500,Fog,1,91.66853169054113,28.13089737123168,43.07482375257234,2.1817821860414135,G_SOS,259.0638023132544,10.303976372054608,211.93554312529335,1.7003425268166574,0.8047229854194731,0.592554775503791
4,5691,104.34025902640424,77.37149922072048,91.94340258533381,6,7767,8,200,Fog,2,64.71199774678678,13.766013404998057,23.691833455755283,2.2716801812521292,G_SOS,685.8883301812624,7.773685135656099,160.57560809496778,1.9668503354529188,0.7873259682625731,0.6264118131054026
5,6234,46.63250013969305,36.264108629902154,90.33590312679259,12,4817,16,100,Fog,2,16.23900702423669,20.236157401509864,97.69159029270278,2.441586893622376,SA-ACO,416.4855167728324,31.995984075402426,114.67050432078962,1.7421550858990993,0.6828084436903843,0.5703248256684641
6,6765,197.23780596635112,55.72587195881872,97.2434854983027,21,2569,8,200,Cloud,2,60.73866900569663,6.6507110476484215,173.15072542575302,2.529876680891859,SA-ACO,368.01358882614517,47.9709729656773,184.0510118263382,1.6485414373912513,0.948108535419306,0.5308474470371233
7,966,57.63752562613057,10.859628144044068,68.405660570664,19,2103,32,50,Cloud,3,10.503734234591512,8.115386408437185,111.10197083848912,1.1227401833367132,HMFO,601.222333564365,57.45581943309067,192.0648021591233,1.996316625881798,0.8580835499397994,0.5680355724163246
8,4926,43.4635634077878,24.830858827869775,97.33184236194003,2,6571,16,50,Cloud,1,55.40691931973937,15.270016423616518,106.64167911538912,2.3672511281249715,SA-ACO,542.4571624468954,9.133470359884129,120.44594792390444,1.6276360435668678,0.8474025753510519,0.769531076618421
9,6078,56.63627729964135,51.15295309173791,84.08541000303134,13,2618,32,200,Edge,2,143.20368936959346,19.14300144848526,151.40324802421748,2.852706060291455,SA-ACO,253.83965971493274,43.949462938429114,227.80367092778357,1.973569520863074,0.9179352000655137,0.645058190250108
10,8822,158.43100396875036,13.167504851525102,30.729053332296132,22,4612,8,50,Cloud,3,31.597430992255504,28.813833632675475,168.27656550025682,0.7755938259862881,HMFO,452.38659963314177,15.529582738112579,157.21423063297715,1.2097154813101916,0.8571116874961695,0.661268350167416
